id,cn_name,en_name,cover,categories,region,duration,release_date,score
76,阿凡达,Avatar,https://p1.meituan.net/movie/e540384dc6c9f63bdb27cc554588a77f44305.jpg@464w_644h_1e_1c,动作、科幻、冒险,美国、英国,162 分钟,2010-01-04,8.9
77,哈尔的移动城堡,ハウルの動く城,https://p0.meituan.net/movie/0127b451d5b8f0679c6f81c8ed414bb2432442.jpg@464w_644h_1e_1c,动画、奇幻、冒险,日本,119 分钟,2004-09-05,8.9
78,盗梦空间,Inception,https://p1.meituan.net/movie/d40efe1183f29d5900f5c60be3c8a89d339225.jpg@464w_644h_1e_1c,剧情、科幻、悬疑、冒险,美国、英国,148 分钟,2010-09-01,8.9
79,忠犬八公的故事,Hachi: A Dog's Tale,https://p0.meituan.net/movie/5f0a709378d6b567807aa9685610f818282136.jpg@464w_644h_1e_1c,剧情,美国、英国,93 分钟,2009-06-13,8.9
80,拯救大兵瑞恩,Saving Private Ryan,https://p1.meituan.net/movie/a2a287c77415dc1f85b04d288f7d63ab1089754.jpg@464w_644h_1e_1c,剧情、历史、战争,美国,169 分钟,1998-11-13,8.9
81,活着,To Live,https://p0.meituan.net/movie/4c41068ef7608c1d4fbfbe6016e589f7204391.jpg@464w_644h_1e_1c,剧情、家庭、历史,中国大陆、中国香港,132 分钟,1994-05-17,9.0
82,机器人总动员,WALL·E,https://p0.meituan.net/movie/267dd2483f0fb57081474c00fbea38451415571.jpg@464w_644h_1e_1c,喜剧、科幻、动画,美国,98 分钟,2008-06-27,9.0
83,天堂电影院,Nuovo Cinema Paradiso,https://p0.meituan.net/movie/76fc92cfa6c8f2959431b8aa604ef7ae126414.jpg@464w_644h_1e_1c,剧情、爱情,意大利、法国,155 分钟,1988-11-17,9.0
84,指环王2：双塔奇兵,The Lord of the Rings: The Two Towers,https://p0.meituan.net/movie/02bb9fd161c05bad6089133098efcdb5546589.jpg@464w_644h_1e_1c,剧情、动作、奇幻、冒险,美国、新西兰,179 分钟,2003-04-25,9.0
85,指环王1：护戒使者,The Lord of the Rings: The Fellowship of the Ring,https://p1.meituan.net/movie/dd08154878aac7c8c649fe3eeb8ccd0a2498277.jpg@464w_644h_1e_1c,剧情、动作、奇幻、冒险,新西兰、美国,178 分钟,2002-04-04,9.0
86,射雕英雄传之东成西就,The Eagle Shooting Heroes,https://p0.meituan.net/movie/86c5190ba1d1236093c13f2fe9ed8dd4150050.jpg@464w_644h_1e_1c,喜剧、奇幻、武侠、古装,中国香港,113 分钟,1993-02-05,9.0
87,蝙蝠侠：黑暗骑士,The Dark Knight,https://p0.meituan.net/movie/09658109acfea0e248a63932337d8e6a4268980.jpg@464w_644h_1e_1c,剧情、动作、科幻、惊悚、犯罪,美国、英国,152 分钟,2008-07-14,9.0
88,无间道,Infernal Affairs,https://p0.meituan.net/movie/606de8f394d40dbcbb9b87943fec71a2130408.jpg@464w_644h_1e_1c,剧情、悬疑、犯罪,中国香港,101 分钟,2003-09-05,9.0
